GEOID,STATE,GROUP,Sum of home_device_count
34017007100,New Jersey,0,1748
34017007200,New Jersey,0,474
34017007300,New Jersey,0,995
34017007400,New Jersey,0,830
34017007500,New Jersey,0,1412
34017007600,New Jersey,0,2630
34017007700,New Jersey,0,1728
34017007800,New Jersey,0,926
34017010100,New Jersey,0,2874
34017010200,New Jersey,0,1579
34017010300,New Jersey,0,1399
34017010400,New Jersey,0,2873
34017010500,New Jersey,0,2646
34017010600,New Jersey,0,2990
34017010700,New Jersey,0,2238
34017010800,New Jersey,0,1581
34017010900,New Jersey,0,1451
34017011000,New Jersey,0,1182
34017011100,New Jersey,0,2101
34017011200,New Jersey,0,2875
34017011300,New Jersey,0,983
34017011400,New Jersey,0,1301
34017011500,New Jersey,0,1376
34017011600,New Jersey,0,1772
34017012300,New Jersey,0,1209
34017012400,New Jersey,0,1206
34017012500,New Jersey,0,1835
34017012600,New Jersey,0,1421
34017012700,New Jersey,0,2766
34017012800,New Jersey,0,2054
34017012900,New Jersey,0,1480
34017013000,New Jersey,0,2164
34017013100,New Jersey,0,1097
34017013200,New Jersey,0,1832
34017013300,New Jersey,0,1791
34017013400,New Jersey,0,513
34017013500,New Jersey,0,1596
34017013600,New Jersey,0,853
34017013700,New Jersey,0,1061
34017013800,New Jersey,0,1244
34017013900,New Jersey,0,2091
34017014000,New Jersey,0,1604
34017014101,New Jersey,0,1376
34017014102,New Jersey,0,1996
34017014200,New Jersey,0,1427
34017014300,New Jersey,0,1708
34017014400,New Jersey,0,3542
34017014501,New Jersey,0,2470
34017014502,New Jersey,0,1136
34017014600,New Jersey,0,1470
34017014700,New Jersey,0,1627
34017014800,New Jersey,0,2115
34017014900,New Jersey,0,695
34017015001,New Jersey,0,564
34017015002,New Jersey,0,1406
34017015100,New Jersey,0,1267
34017015201,New Jersey,0,814
34017015202,New Jersey,0,2093
34017015300,New Jersey,0,1243
34017015500,New Jersey,0,1910
34017015600,New Jersey,0,1138
34017015700,New Jersey,0,918
34017015801,New Jersey,0,527
34017015802,New Jersey,0,2114
34017015900,New Jersey,0,2086
34017016000,New Jersey,0,1844
34017016100,New Jersey,0,1214
34017016200,New Jersey,0,1599
34017016300,New Jersey,0,1626
34017016400,New Jersey,0,878
34017016500,New Jersey,0,1046
34017016600,New Jersey,0,1357
34017016700,New Jersey,0,767
34017016800,New Jersey,0,949
34017016900,New Jersey,0,1046
34017017000,New Jersey,0,1727
34017017100,New Jersey,0,1831
34017017200,New Jersey,0,677
34017017300,New Jersey,0,423
34017017400,New Jersey,0,934
34017017500,New Jersey,0,1122
34017017600,New Jersey,0,650
34017017700,New Jersey,0,721
34017017800,New Jersey,0,1956
34017017900,New Jersey,0,942
34017018000,New Jersey,0,1295
34017018100,New Jersey,0,1296
34017018200,New Jersey,0,1418
34017018301,New Jersey,0,313
34017018302,New Jersey,0,813
34017018400,New Jersey,0,1730
34017018500,New Jersey,0,1259
34017018600,New Jersey,0,824
34017018701,New Jersey,0,606
34017018702,New Jersey,0,1349
34017018800,New Jersey,0,736
34017018900,New Jersey,0,1408
34017019000,New Jersey,0,1382
34017019100,New Jersey,0,756
34017019200,New Jersey,0,1103
34017019300,New Jersey,0,322
34017019400,New Jersey,0,866
34017019800,New Jersey,0,3643
34017019900,New Jersey,0,2510
34017020000,New Jersey,0,3072
34017020100,New Jersey,0,759
34017032400,New Jersey,0,2087
34017980100,New Jersey,0,20
34019010100,New Jersey,0,2868
34019010200,New Jersey,0,3986
34019010300,New Jersey,0,1488
34019010400,New Jersey,0,2676
34019010500,New Jersey,0,2722
34019010600,New Jersey,0,2958
34019010701,New Jersey,0,2570
34019010702,New Jersey,0,1866
34019010801,New Jersey,0,1640
34019010802,New Jersey,0,691
34019010900,New Jersey,0,2012
34019011001,New Jersey,0,2956
34019011002,New Jersey,0,3155
34019011100,New Jersey,0,2701
34019011201,New Jersey,0,4618
34019011202,New Jersey,0,1670
34019011301,New Jersey,0,5163
34019011302,New Jersey,0,5449
34019011303,New Jersey,0,2701
34019011304,New Jersey,0,2292
34019011400,New Jersey,0,1795
34019011500,New Jersey,0,1865
34019011600,New Jersey,0,2020
34019011700,New Jersey,0,2054
34019011800,New Jersey,0,2123
34019011900,New Jersey,0,1287
34023000100,New Jersey,0,4478
34023000200,New Jersey,0,3640
34023000300,New Jersey,0,3561
34023000401,New Jersey,0,1563
34023000403,New Jersey,0,2777
34023000404,New Jersey,0,2409
34023000501,New Jersey,0,2440
