GEOID,STATE,Date,Sum of home_device_count
34017012600,New Jersey,13-Feb,1388
34017012700,New Jersey,13-Feb,2363
34017012800,New Jersey,13-Feb,1982
34017012900,New Jersey,13-Feb,1510
34017013000,New Jersey,13-Feb,1833
34017013100,New Jersey,13-Feb,1084
34017013200,New Jersey,13-Feb,1465
34017013300,New Jersey,13-Feb,1918
34017013400,New Jersey,13-Feb,667
34017013500,New Jersey,13-Feb,1614
34017013600,New Jersey,13-Feb,729
34017013700,New Jersey,13-Feb,1184
34017013800,New Jersey,13-Feb,1090
34017013900,New Jersey,13-Feb,1961
34017014000,New Jersey,13-Feb,1510
34017014101,New Jersey,13-Feb,965
34017014102,New Jersey,13-Feb,1737
34017014200,New Jersey,13-Feb,1577
34017014300,New Jersey,13-Feb,2083
34017014400,New Jersey,13-Feb,3404
34017014501,New Jersey,13-Feb,2294
34017014502,New Jersey,13-Feb,1269
34017014600,New Jersey,13-Feb,1623
34017014700,New Jersey,13-Feb,1298
34017014800,New Jersey,13-Feb,2249
34017014900,New Jersey,13-Feb,822
34017015001,New Jersey,13-Feb,419
34017015002,New Jersey,13-Feb,1566
34017015100,New Jersey,13-Feb,1308
34017015201,New Jersey,13-Feb,769
34017015202,New Jersey,13-Feb,2141
34017015300,New Jersey,13-Feb,1307
34017015500,New Jersey,13-Feb,1894
34017015600,New Jersey,13-Feb,1182
34017015700,New Jersey,13-Feb,1181
34017015801,New Jersey,13-Feb,477
34017015802,New Jersey,13-Feb,1905
34017015900,New Jersey,13-Feb,2141
34017016000,New Jersey,13-Feb,1750
34017016100,New Jersey,13-Feb,1334
34017016200,New Jersey,13-Feb,1562
34017016300,New Jersey,13-Feb,1219
34017016400,New Jersey,13-Feb,1021
34017016500,New Jersey,13-Feb,1063
34017016600,New Jersey,13-Feb,1471
34017016700,New Jersey,13-Feb,585
34017016800,New Jersey,13-Feb,1041
34017016900,New Jersey,13-Feb,932
34017017000,New Jersey,13-Feb,1418
34017017100,New Jersey,13-Feb,1562
34017017200,New Jersey,13-Feb,799
34017017300,New Jersey,13-Feb,349
34017017400,New Jersey,13-Feb,809
34017017500,New Jersey,13-Feb,1000
34017017600,New Jersey,13-Feb,990
34017017700,New Jersey,13-Feb,705
34017017800,New Jersey,13-Feb,1638
34017017900,New Jersey,13-Feb,795
34017018000,New Jersey,13-Feb,1150
34017018100,New Jersey,13-Feb,1093
34017018200,New Jersey,13-Feb,1131
34017018301,New Jersey,13-Feb,551
34017018302,New Jersey,13-Feb,821
34017018400,New Jersey,13-Feb,1752
34017018500,New Jersey,13-Feb,1811
34017018600,New Jersey,13-Feb,815
34017018701,New Jersey,13-Feb,1302
34017018702,New Jersey,13-Feb,1241
34017018800,New Jersey,13-Feb,722
34017018900,New Jersey,13-Feb,1241
34017019000,New Jersey,13-Feb,1467
34017019100,New Jersey,13-Feb,885
34017019200,New Jersey,13-Feb,927
34017019300,New Jersey,13-Feb,487
34017019400,New Jersey,13-Feb,817
34017019800,New Jersey,13-Feb,3100
34017019900,New Jersey,13-Feb,2293
34017020000,New Jersey,13-Feb,2850
34017020100,New Jersey,13-Feb,727
34017032400,New Jersey,13-Feb,2273
34017980100,New Jersey,13-Feb,77
34019010100,New Jersey,13-Feb,2454
34019010200,New Jersey,13-Feb,3178
34019010300,New Jersey,13-Feb,1124
34019010400,New Jersey,13-Feb,2161
34019010500,New Jersey,13-Feb,2415
34019010600,New Jersey,13-Feb,2118
34019010701,New Jersey,13-Feb,2267
34019010702,New Jersey,13-Feb,1313
34019010801,New Jersey,13-Feb,1267
34019010802,New Jersey,13-Feb,556
34019010900,New Jersey,13-Feb,1780
34019011001,New Jersey,13-Feb,2568
34019011002,New Jersey,13-Feb,2748
34019011100,New Jersey,13-Feb,2430
34019011201,New Jersey,13-Feb,3487
34019011202,New Jersey,13-Feb,1334
34019011301,New Jersey,13-Feb,4067
34019011302,New Jersey,13-Feb,4211
34019011303,New Jersey,13-Feb,1890
34019011304,New Jersey,13-Feb,1956
34019011400,New Jersey,13-Feb,2127
34019011500,New Jersey,13-Feb,1650
34019011600,New Jersey,13-Feb,1595
34019011700,New Jersey,13-Feb,1352
34019011800,New Jersey,13-Feb,1678
34019011900,New Jersey,13-Feb,1192
34023000100,New Jersey,13-Feb,3660
34023000200,New Jersey,13-Feb,3217
34023000300,New Jersey,13-Feb,2956
34023000401,New Jersey,13-Feb,1396
34023000403,New Jersey,13-Feb,2285
34023000404,New Jersey,13-Feb,2450
34023000501,New Jersey,13-Feb,2105
34023000502,New Jersey,13-Feb,2476
34023000603,New Jersey,13-Feb,1451
34023000606,New Jersey,13-Feb,2447
34023000608,New Jersey,13-Feb,400
34023000701,New Jersey,13-Feb,1335
34023000702,New Jersey,13-Feb,2205
34023000801,New Jersey,13-Feb,1138
34023000802,New Jersey,13-Feb,1440
34023000901,New Jersey,13-Feb,1422
34023000902,New Jersey,13-Feb,2072
34023001001,New Jersey,13-Feb,1403
34023001002,New Jersey,13-Feb,3672
34023001100,New Jersey,13-Feb,1208
34023001200,New Jersey,13-Feb,1477
34023001300,New Jersey,13-Feb,1320
34023001409,New Jersey,13-Feb,1172
34023001410,New Jersey,13-Feb,1163
34023001411,New Jersey,13-Feb,1201
34023001412,New Jersey,13-Feb,1515
34023001413,New Jersey,13-Feb,1776
34023001414,New Jersey,13-Feb,1272
34023001415,New Jersey,13-Feb,1346
34023001416,New Jersey,13-Feb,2374
34023001417,New Jersey,13-Feb,860
34023001502,New Jersey,13-Feb,2296
34023001504,New Jersey,13-Feb,2466
34023001505,New Jersey,13-Feb,657
34023001506,New Jersey,13-Feb,1889
34023001600,New Jersey,13-Feb,1429
34023001701,New Jersey,13-Feb,2299
34023001702,New Jersey,13-Feb,1981
34023001803,New Jersey,13-Feb,1667
34023001804,New Jersey,13-Feb,1707
34023001805,New Jersey,13-Feb,2071
34023001901,New Jersey,13-Feb,1610
34023001902,New Jersey,13-Feb,650
34023001903,New Jersey,13-Feb,1327
34023002000,New Jersey,13-Feb,2076
34023002101,New Jersey,13-Feb,1059
