GEOID,County,State,"Change in percent devices at home, midday"
34017007600,Hudson,NJ,40.11
34017007700,Hudson,NJ,34.29
34017007800,Hudson,NJ,25.6
34017010100,Hudson,NJ,28.53
34017010200,Hudson,NJ,30.01
34017010300,Hudson,NJ,27.21
34017010400,Hudson,NJ,-5.11
34017010500,Hudson,NJ,38.31
34017010600,Hudson,NJ,28.01
34017010700,Hudson,NJ,26.32
34017010800,Hudson,NJ,23.43
34017010900,Hudson,NJ,31.87
34017011000,Hudson,NJ,29.74
34017011100,Hudson,NJ,28.73
34017011200,Hudson,NJ,43.47
34017011300,Hudson,NJ,17.81
34017011400,Hudson,NJ,33.84
34017011500,Hudson,NJ,42.78
34017011600,Hudson,NJ,28.01
34017012300,Hudson,NJ,26.39
34017012400,Hudson,NJ,36.09
34017012500,Hudson,NJ,35.42
34017012600,Hudson,NJ,36.92
34017012700,Hudson,NJ,20.27
34017012800,Hudson,NJ,27.71
34017012900,Hudson,NJ,32.68
34017013000,Hudson,NJ,29.61
34017013100,Hudson,NJ,36.34
34017013200,Hudson,NJ,32.7
34017013300,Hudson,NJ,26.51
34017013400,Hudson,NJ,22.19
34017013500,Hudson,NJ,18.57
34017013600,Hudson,NJ,24.26
34017013700,Hudson,NJ,28.56
34017013800,Hudson,NJ,32.03
34017013900,Hudson,NJ,26.52
34017014000,Hudson,NJ,30.91
34017014101,Hudson,NJ,41.97
34017014102,Hudson,NJ,40.36
34017014200,Hudson,NJ,28.78
34017014300,Hudson,NJ,26.35
34017014400,Hudson,NJ,31.2
34017014501,Hudson,NJ,33.48
34017014502,Hudson,NJ,24.94
34017014600,Hudson,NJ,29.67
34017014700,Hudson,NJ,34.65
34017014800,Hudson,NJ,24.78
34017014900,Hudson,NJ,38.34
34017015001,Hudson,NJ,39.94
34017015002,Hudson,NJ,21.85
34017015100,Hudson,NJ,33.59
34017015201,Hudson,NJ,48.07
34017015202,Hudson,NJ,25.31
34017015300,Hudson,NJ,26.44
34017015500,Hudson,NJ,22.15
34017015600,Hudson,NJ,23.15
34017015700,Hudson,NJ,21.14
34017015801,Hudson,NJ,45.12
34017015802,Hudson,NJ,27.58
34017015900,Hudson,NJ,25.65
34017016000,Hudson,NJ,28.25
34017016100,Hudson,NJ,26.69
34017016200,Hudson,NJ,28
34017016300,Hudson,NJ,34.26
34017016400,Hudson,NJ,17.4
34017016500,Hudson,NJ,20.09
34017016600,Hudson,NJ,27.64
34017016700,Hudson,NJ,45.87
34017016800,Hudson,NJ,15.32
34017016900,Hudson,NJ,27.17
34017017000,Hudson,NJ,27.84
34017017100,Hudson,NJ,38.05
34017017200,Hudson,NJ,22.66
34017017300,Hudson,NJ,42.86
34017017400,Hudson,NJ,29.66
34017017500,Hudson,NJ,28.07
34017017600,Hudson,NJ,23.15
34017017700,Hudson,NJ,39.36
34017017800,Hudson,NJ,36.13
34017017900,Hudson,NJ,28.68
34017018000,Hudson,NJ,35.58
34017018100,Hudson,NJ,22.06
34017018200,Hudson,NJ,38.35
34017018301,Hudson,NJ,-0.56
34017018302,Hudson,NJ,24.19
34017018400,Hudson,NJ,37.58
34017018500,Hudson,NJ,20.84
34017018600,Hudson,NJ,24.1
34017018701,Hudson,NJ,-20.31
34017018702,Hudson,NJ,24.97
34017018800,Hudson,NJ,18.85
34017018900,Hudson,NJ,30.83
34017019000,Hudson,NJ,30.8
34017019100,Hudson,NJ,28.64
34017019200,Hudson,NJ,33.75
34017019300,Hudson,NJ,25.71
34017019400,Hudson,NJ,23.67
34017019800,Hudson,NJ,40.55
34017019900,Hudson,NJ,35.59
34017020000,Hudson,NJ,28.05
34017020100,Hudson,NJ,36.54
34017032400,Hudson,NJ,23.87
34017980100,Hudson,NJ,27.96
34019010100,Hunterdon,NJ,35.34
34019010200,Hunterdon,NJ,30.02
34019010300,Hunterdon,NJ,34.71
34019010400,Hunterdon,NJ,26.85
34019010500,Hunterdon,NJ,28.73
34019010600,Hunterdon,NJ,37.88
34019010701,Hunterdon,NJ,31.36
34019010702,Hunterdon,NJ,29.02
34019010801,Hunterdon,NJ,36.36
34019010802,Hunterdon,NJ,21.29
34019010900,Hunterdon,NJ,31.8
34019011001,Hunterdon,NJ,34.93
34019011002,Hunterdon,NJ,34.15
34019011100,Hunterdon,NJ,35.06
34019011201,Hunterdon,NJ,40.29
34019011202,Hunterdon,NJ,35.41
34019011301,Hunterdon,NJ,37.09
34019011302,Hunterdon,NJ,37.24
34019011303,Hunterdon,NJ,44.86
34019011304,Hunterdon,NJ,37.85
34019011400,Hunterdon,NJ,22.89
34019011500,Hunterdon,NJ,28.16
34019011600,Hunterdon,NJ,38.46
34019011700,Hunterdon,NJ,36
34019011800,Hunterdon,NJ,32.18
34019011900,Hunterdon,NJ,31.62
34023000100,Middlesex,NJ,37.64
34023000200,Middlesex,NJ,26.78
34023000300,Middlesex,NJ,29.52
34023000401,Middlesex,NJ,31.04
34023000403,Middlesex,NJ,34.81
34023000404,Middlesex,NJ,33.43
34023000501,Middlesex,NJ,34.25
34023000502,Middlesex,NJ,29.59
34023000603,Middlesex,NJ,29.27
34023000606,Middlesex,NJ,35.77
34023000608,Middlesex,NJ,24.59
34023000701,Middlesex,NJ,34.75
34023000702,Middlesex,NJ,40.04
34023000801,Middlesex,NJ,29.71
34023000802,Middlesex,NJ,36.96
34023000901,Middlesex,NJ,29.78
34023000902,Middlesex,NJ,34.75
34023001001,Middlesex,NJ,49.44
34023001002,Middlesex,NJ,32.59
34023001100,Middlesex,NJ,36.57
34023001200,Middlesex,NJ,32.13
34023001300,Middlesex,NJ,25.93
34023001409,Middlesex,NJ,35.22
34023001410,Middlesex,NJ,43.07
34023001411,Middlesex,NJ,45.45
34023001412,Middlesex,NJ,38.97
34023001413,Middlesex,NJ,34.51
34023001414,Middlesex,NJ,39.85
34023001415,Middlesex,NJ,36.87
34023001416,Middlesex,NJ,33.66
34023001417,Middlesex,NJ,40.88
34023001502,Middlesex,NJ,32.14
34023001504,Middlesex,NJ,39.61
34023001505,Middlesex,NJ,30.3
34023001506,Middlesex,NJ,20.89
34023001600,Middlesex,NJ,33.48
34023001701,Middlesex,NJ,31.53
34023001702,Middlesex,NJ,31.05
34023001803,Middlesex,NJ,33.74
34023001804,Middlesex,NJ,29.24
34023001805,Middlesex,NJ,38.69
34023001901,Middlesex,NJ,37.36
34023001902,Middlesex,NJ,39.97
34023001903,Middlesex,NJ,27.87
34023002000,Middlesex,NJ,43.61
34023002101,Middlesex,NJ,46.58
34023002102,Middlesex,NJ,45.87
34023002200,Middlesex,NJ,39.68
34023002301,Middlesex,NJ,42.08
34023002302,Middlesex,NJ,43.66
34023002401,Middlesex,NJ,40.78
34023002402,Middlesex,NJ,31.66
34023002500,Middlesex,NJ,30.29
34023002603,Middlesex,NJ,24.44
34023002604,Middlesex,NJ,31.88
34023002605,Middlesex,NJ,41.3
34023002701,Middlesex,NJ,30.47
34023002703,Middlesex,NJ,31.58
34023002805,Middlesex,NJ,25.3
34023002901,Middlesex,NJ,33.74
34023002902,Middlesex,NJ,33.88
