GEOID,County,Time of Day,Change in Percent Devices at Home
34023001803,Middlesex,Morning,14.89
34023001804,Middlesex,Morning,14.78
34023001805,Middlesex,Morning,21.79
34023001901,Middlesex,Morning,21.81
34023001902,Middlesex,Morning,28.74
34023001903,Middlesex,Morning,22.82
34023002000,Middlesex,Morning,16.16
34023002101,Middlesex,Morning,21.05
34023002102,Middlesex,Morning,27.86
34023002200,Middlesex,Morning,16
34023002301,Middlesex,Morning,21.15
34023002302,Middlesex,Morning,20.28
34023002401,Middlesex,Morning,20.65
34023002402,Middlesex,Morning,12.83
34023002500,Middlesex,Morning,6.08
34023002603,Middlesex,Morning,22.45
34023002604,Middlesex,Morning,9.63
34023002605,Middlesex,Morning,23.84
34023002701,Middlesex,Morning,17.15
34023002703,Middlesex,Morning,15.07
34023002805,Middlesex,Morning,3.32
34023002901,Middlesex,Morning,17.77
34023002902,Middlesex,Morning,19.14
34023003001,Middlesex,Morning,12.82
34023003002,Middlesex,Morning,13.67
34023003101,Middlesex,Morning,15.38
34023003102,Middlesex,Morning,21.54
34023003201,Middlesex,Morning,6.49
34023003203,Middlesex,Morning,7.1
34023003300,Middlesex,Morning,11.55
34023003401,Middlesex,Morning,18.15
34023003500,Middlesex,Morning,8.24
34023003600,Middlesex,Morning,11.66
34023003700,Middlesex,Morning,11.95
34023003800,Middlesex,Morning,8.06
34023004000,Middlesex,Morning,0.8
34023004100,Middlesex,Morning,17.61
34023004200,Middlesex,Morning,10.01
34023004300,Middlesex,Morning,21.46
34023004400,Middlesex,Morning,17.51
34023004500,Middlesex,Morning,24.96
34023004600,Middlesex,Morning,19.24
34023004700,Middlesex,Morning,4.71
34023004800,Middlesex,Morning,-2.31
34023004900,Middlesex,Morning,-0.09
34023005000,Middlesex,Morning,17.96
34023005100,Middlesex,Morning,-73.3
34023005200,Middlesex,Morning,-32.4
34023005300,Middlesex,Morning,19.09
34023005500,Middlesex,Morning,4.92
34023005601,Middlesex,Morning,-0.56
34023005602,Middlesex,Morning,3.32
34023005700,Middlesex,Morning,0.98
34023005800,Middlesex,Morning,-12.77
34023006001,Middlesex,Morning,8.37
34023006002,Middlesex,Morning,-29.65
34023006101,Middlesex,Morning,-2.35
34023006103,Middlesex,Morning,14.93
34023006104,Middlesex,Morning,13.18
34023006203,Middlesex,Morning,13.94
34023006204,Middlesex,Morning,23.64
34023006205,Middlesex,Morning,16.8
34023006206,Middlesex,Morning,15.28
34023006207,Middlesex,Morning,13.88
34023006300,Middlesex,Morning,15.8
34023006403,Middlesex,Morning,11.54
34023006500,Middlesex,Morning,16.69
34023006601,Middlesex,Morning,25.83
34023006604,Middlesex,Morning,12.9
34023006605,Middlesex,Morning,17.58
34023006606,Middlesex,Morning,20.39
34023006607,Middlesex,Morning,16.74
34023006608,Middlesex,Morning,25.93
34023006701,Middlesex,Morning,24.42
34023006703,Middlesex,Morning,21.99
34023006800,Middlesex,Morning,12.76
34023006900,Middlesex,Morning,0.1
34023007000,Middlesex,Morning,4.87
34023007101,Middlesex,Morning,7.23
34023007102,Middlesex,Morning,14.66
34023007103,Middlesex,Morning,7.17
34023007202,Middlesex,Morning,18.14
34023007203,Middlesex,Morning,11.47
34023007301,Middlesex,Morning,5.89
34023007303,Middlesex,Morning,20.43
34023007304,Middlesex,Morning,11.49
34023007402,Middlesex,Morning,13.85
34023007500,Middlesex,Morning,9.08
34023007600,Middlesex,Morning,18.4
34023007702,Middlesex,Morning,20.24
34023007703,Middlesex,Morning,28.52
34023007704,Middlesex,Morning,14.35
34023007801,Middlesex,Morning,16.61
34023007804,Middlesex,Morning,13.91
34023007805,Middlesex,Morning,21.49
34023007806,Middlesex,Morning,22.15
34023007905,Middlesex,Morning,10.51
34023007906,Middlesex,Morning,20.47
34023007907,Middlesex,Morning,18.02
34023007908,Middlesex,Morning,5.56
34023007909,Middlesex,Morning,22.55
34023007910,Middlesex,Morning,12.07
34023007911,Middlesex,Morning,17.85
34023007912,Middlesex,Morning,18.01
34023008001,Middlesex,Morning,12.47
34023008101,Middlesex,Morning,13.59
34023008102,Middlesex,Morning,20.81
34023008103,Middlesex,Morning,11.75
34023008202,Middlesex,Morning,21.96
34023008204,Middlesex,Morning,19.92
34023008205,Middlesex,Morning,8.84
34023008206,Middlesex,Morning,7.2
34023008207,Middlesex,Morning,22.2
34023008208,Middlesex,Morning,22.26
34023008209,Middlesex,Morning,9.68
34023008300,Middlesex,Morning,16.48
34023008403,Middlesex,Morning,18.77
34023008404,Middlesex,Morning,11.84
34023008405,Middlesex,Morning,12.54
34023008406,Middlesex,Morning,25.41
34023008501,Middlesex,Morning,12.36
34023008502,Middlesex,Morning,1.51
34023008503,Middlesex,Morning,17.36
34023008504,Middlesex,Morning,14.26
34023008601,Middlesex,Morning,21.3
34023008602,Middlesex,Morning,14.14
34023008604,Middlesex,Morning,14.17
34023008605,Middlesex,Morning,25.89
34023008606,Middlesex,Morning,14.26
34023008700,Middlesex,Morning,7.26
34023008800,Middlesex,Morning,-64.3
34023008900,Middlesex,Morning,-1.6
34023009000,Middlesex,Morning,3.26
34023009100,Middlesex,Morning,12.4
