GEOID,County,Day type,"Change in percent devices at home, midday"
34017011200,Hudson,Weekday,43.47
34017011300,Hudson,Weekday,17.81
34017011400,Hudson,Weekday,33.84
34017011500,Hudson,Weekday,42.78
34017011600,Hudson,Weekday,28.01
34017012300,Hudson,Weekday,26.39
34017012400,Hudson,Weekday,36.09
34017012500,Hudson,Weekday,35.42
34017012600,Hudson,Weekday,36.92
34017012700,Hudson,Weekday,20.27
34017012800,Hudson,Weekday,27.71
34017012900,Hudson,Weekday,32.68
34017013000,Hudson,Weekday,29.61
34017013100,Hudson,Weekday,36.34
34017013200,Hudson,Weekday,32.7
34017013300,Hudson,Weekday,26.51
34017013400,Hudson,Weekday,22.19
34017013500,Hudson,Weekday,18.57
34017013600,Hudson,Weekday,24.26
34017013700,Hudson,Weekday,28.56
34017013800,Hudson,Weekday,32.03
34017013900,Hudson,Weekday,26.52
34017014000,Hudson,Weekday,30.91
34017014101,Hudson,Weekday,41.97
34017014102,Hudson,Weekday,40.36
34017014200,Hudson,Weekday,28.78
34017014300,Hudson,Weekday,26.35
34017014400,Hudson,Weekday,31.2
34017014501,Hudson,Weekday,33.48
34017014502,Hudson,Weekday,24.94
34017014600,Hudson,Weekday,29.67
34017014700,Hudson,Weekday,34.65
34017014800,Hudson,Weekday,24.78
34017014900,Hudson,Weekday,38.34
34017015001,Hudson,Weekday,39.94
34017015002,Hudson,Weekday,21.85
34017015100,Hudson,Weekday,33.59
34017015201,Hudson,Weekday,48.07
34017015202,Hudson,Weekday,25.31
34017015300,Hudson,Weekday,26.44
34017015500,Hudson,Weekday,22.15
34017015600,Hudson,Weekday,23.15
34017015700,Hudson,Weekday,21.14
34017015801,Hudson,Weekday,45.12
34017015802,Hudson,Weekday,27.58
34017015900,Hudson,Weekday,25.65
34017016000,Hudson,Weekday,28.25
34017016100,Hudson,Weekday,26.69
34017016200,Hudson,Weekday,28
34017016300,Hudson,Weekday,34.26
34017016400,Hudson,Weekday,17.4
34017016500,Hudson,Weekday,20.09
34017016600,Hudson,Weekday,27.64
34017016700,Hudson,Weekday,45.87
34017016800,Hudson,Weekday,15.32
34017016900,Hudson,Weekday,27.17
34017017000,Hudson,Weekday,27.84
34017017100,Hudson,Weekday,38.05
34017017200,Hudson,Weekday,22.66
34017017300,Hudson,Weekday,42.86
34017017400,Hudson,Weekday,29.66
34017017500,Hudson,Weekday,28.07
34017017600,Hudson,Weekday,23.15
34017017700,Hudson,Weekday,39.36
34017017800,Hudson,Weekday,36.13
34017017900,Hudson,Weekday,28.68
34017018000,Hudson,Weekday,35.58
34017018100,Hudson,Weekday,22.06
34017018200,Hudson,Weekday,38.35
34017018301,Hudson,Weekday,-0.56
34017018302,Hudson,Weekday,24.19
34017018400,Hudson,Weekday,37.58
34017018500,Hudson,Weekday,20.84
34017018600,Hudson,Weekday,24.1
34017018701,Hudson,Weekday,-20.31
34017018702,Hudson,Weekday,24.97
34017018800,Hudson,Weekday,18.85
34017018900,Hudson,Weekday,30.83
34017019000,Hudson,Weekday,30.8
34017019100,Hudson,Weekday,28.64
34017019200,Hudson,Weekday,33.75
34017019300,Hudson,Weekday,25.71
34017019400,Hudson,Weekday,23.67
34017019800,Hudson,Weekday,40.55
34017019900,Hudson,Weekday,35.59
34017020000,Hudson,Weekday,28.05
34017020100,Hudson,Weekday,36.54
34017032400,Hudson,Weekday,23.87
34017980100,Hudson,Weekday,27.96
34019010100,Hunterdon,Weekday,35.34
34019010200,Hunterdon,Weekday,30.02
34019010300,Hunterdon,Weekday,34.71
34019010400,Hunterdon,Weekday,26.85
34019010500,Hunterdon,Weekday,28.73
34019010600,Hunterdon,Weekday,37.88
34019010701,Hunterdon,Weekday,31.36
34019010702,Hunterdon,Weekday,29.02
34019010801,Hunterdon,Weekday,36.36
34019010802,Hunterdon,Weekday,21.29
34019010900,Hunterdon,Weekday,31.8
34019011001,Hunterdon,Weekday,34.93
34019011002,Hunterdon,Weekday,34.15
34019011100,Hunterdon,Weekday,35.06
34019011201,Hunterdon,Weekday,40.29
34019011202,Hunterdon,Weekday,35.41
34019011301,Hunterdon,Weekday,37.09
