Person Type Scenario,Period,Location,Percent Active Devices
Resident Weekday Now,13,OTHER,0.051915347
Resident Weekday Now,14,OTHER,0.057366895
Resident Weekday Now,15,OTHER,0.062723002
Resident Weekday Now,16,OTHER,0.068040929
Resident Weekday Now,17,OTHER,0.072748915
Resident Weekday Now,18,OTHER,0.077614045
Resident Weekday Now,19,OTHER,0.078886698
Resident Weekday Now,20,OTHER,0.082482085
Resident Weekday Now,21,OTHER,0.084187106
Resident Weekday Now,22,OTHER,0.087016507
Resident Weekday Now,23,OTHER,0.08684273
Resident Weekday Now,24,OTHER,0.089137227
Resident Weekday Now,25,OTHER,0.090388622
Resident Weekday Now,26,OTHER,0.091616967
Resident Weekday Now,27,OTHER,0.089876579
Resident Weekday Now,28,OTHER,0.091763644
Resident Weekday Now,29,OTHER,0.090897215
Resident Weekday Now,30,OTHER,0.09226689
Resident Weekday Now,31,OTHER,0.090753409
Resident Weekday Now,32,OTHER,0.090589984
Resident Weekday Now,33,OTHER,0.087919505
Resident Weekday Now,34,OTHER,0.086781862
Resident Weekday Now,35,OTHER,0.086071253
Resident Weekday Now,36,OTHER,0.085287394
Resident Weekday Now,37,OTHER,0.082618414
Resident Weekday Now,38,OTHER,0.08206243
Resident Weekday Now,39,OTHER,0.079405379
Resident Weekday Now,40,OTHER,0.081743425
Resident Weekday Now,41,OTHER,0.069364557
Resident Weekday Now,42,OTHER,0.067884231
Resident Weekday Now,43,OTHER,0.064096983
Resident Weekday Now,44,OTHER,0.06289186
Resident Weekday Now,45,OTHER,0.058771208
Resident Weekday Now,46,OTHER,0.05802399
Resident Weekday Now,47,OTHER,0.054771506
Resident Weekday Now,48,OTHER,0.053720434
Resident Weekday Now,1,SCHOOL,0
Resident Weekday Now,2,SCHOOL,0
Resident Weekday Now,3,SCHOOL,0
Resident Weekday Now,4,SCHOOL,0
Resident Weekday Now,5,SCHOOL,0
Resident Weekday Now,6,SCHOOL,0
Resident Weekday Now,7,SCHOOL,0
Resident Weekday Now,8,SCHOOL,0
Resident Weekday Now,9,SCHOOL,0
Resident Weekday Now,10,SCHOOL,0
Resident Weekday Now,11,SCHOOL,0
Resident Weekday Now,12,SCHOOL,0
Resident Weekday Now,13,SCHOOL,0
Resident Weekday Now,14,SCHOOL,0
Resident Weekday Now,15,SCHOOL,0
Resident Weekday Now,16,SCHOOL,0
Resident Weekday Now,17,SCHOOL,0
Resident Weekday Now,18,SCHOOL,0
Resident Weekday Now,19,SCHOOL,0
Resident Weekday Now,20,SCHOOL,0
Resident Weekday Now,21,SCHOOL,0
Resident Weekday Now,22,SCHOOL,0
Resident Weekday Now,23,SCHOOL,0
Resident Weekday Now,24,SCHOOL,0
Resident Weekday Now,25,SCHOOL,0
Resident Weekday Now,26,SCHOOL,0
Resident Weekday Now,27,SCHOOL,0
Resident Weekday Now,28,SCHOOL,0
Resident Weekday Now,29,SCHOOL,0
Resident Weekday Now,30,SCHOOL,0
Resident Weekday Now,31,SCHOOL,0
Resident Weekday Now,32,SCHOOL,0
Resident Weekday Now,33,SCHOOL,0
Resident Weekday Now,34,SCHOOL,0
Resident Weekday Now,35,SCHOOL,0
Resident Weekday Now,36,SCHOOL,0
Resident Weekday Now,37,SCHOOL,0
Resident Weekday Now,38,SCHOOL,0
Resident Weekday Now,39,SCHOOL,0
Resident Weekday Now,40,SCHOOL,0
Resident Weekday Now,41,SCHOOL,0
Resident Weekday Now,42,SCHOOL,0
Resident Weekday Now,43,SCHOOL,0
Resident Weekday Now,44,SCHOOL,0
Resident Weekday Now,45,SCHOOL,0
Resident Weekday Now,46,SCHOOL,0
Resident Weekday Now,47,SCHOOL,0
Resident Weekday Now,48,SCHOOL,0
Resident Weekend Before,1,HOME,0.830602078
Resident Weekend Before,2,HOME,0.843723758
Resident Weekend Before,3,HOME,0.856541248
Resident Weekend Before,4,HOME,0.864756712
Resident Weekend Before,5,HOME,0.872579239
Resident Weekend Before,6,HOME,0.877024305
Resident Weekend Before,7,HOME,0.879772604
Resident Weekend Before,8,HOME,0.882919432
Resident Weekend Before,9,HOME,0.885632507
Resident Weekend Before,10,HOME,0.88616999
Resident Weekend Before,11,HOME,0.884963455
Resident Weekend Before,12,HOME,0.880866067
Resident Weekend Before,13,HOME,0.873022777
Resident Weekend Before,14,HOME,0.862833675
Resident Weekend Before,15,HOME,0.846563455
Resident Weekend Before,16,HOME,0.830799997
Resident Weekend Before,17,HOME,0.808425644
Resident Weekend Before,18,HOME,0.787138547
Resident Weekend Before,19,HOME,0.758178637
Resident Weekend Before,20,HOME,0.733031717
Resident Weekend Before,21,HOME,0.703952374
Resident Weekend Before,22,HOME,0.683319544
Resident Weekend Before,23,HOME,0.66427058
Resident Weekend Before,24,HOME,0.650916717
Resident Weekend Before,25,HOME,0.64145342
Resident Weekend Before,26,HOME,0.632354621
Resident Weekend Before,27,HOME,0.627992942
Resident Weekend Before,28,HOME,0.624884262
Resident Weekend Before,29,HOME,0.626614887
Resident Weekend Before,30,HOME,0.629101462
Resident Weekend Before,31,HOME,0.63359381
Resident Weekend Before,32,HOME,0.640004423
Resident Weekend Before,33,HOME,0.646397736
Resident Weekend Before,34,HOME,0.652170273
Resident Weekend Before,35,HOME,0.657695786
Resident Weekend Before,36,HOME,0.662430784
Resident Weekend Before,37,HOME,0.670960576
Resident Weekend Before,38,HOME,0.675781407
Resident Weekend Before,39,HOME,0.688954466
Resident Weekend Before,40,HOME,0.695658877
Resident Weekend Before,41,HOME,0.711175501
Resident Weekend Before,42,HOME,0.728048317
Resident Weekend Before,43,HOME,0.749154796
Resident Weekend Before,44,HOME,0.768250043
Resident Weekend Before,45,HOME,0.790002052
Resident Weekend Before,46,HOME,0.809695338
Resident Weekend Before,47,HOME,0.829702246
Resident Weekend Before,48,HOME,0.842547727
Resident Weekend Before,1,WORK,0.036804643
Resident Weekend Before,2,WORK,0.033415983
Resident Weekend Before,3,WORK,0.030355315
Resident Weekend Before,4,WORK,0.028472901
Resident Weekend Before,5,WORK,0.02689666
Resident Weekend Before,6,WORK,0.026174919
Resident Weekend Before,7,WORK,0.025861159
Resident Weekend Before,8,WORK,0.025386885
Resident Weekend Before,9,WORK,0.025336647
Resident Weekend Before,10,WORK,0.025837168
Resident Weekend Before,11,WORK,0.027402565
Resident Weekend Before,12,WORK,0.029912739
Resident Weekend Before,13,WORK,0.034820107
Resident Weekend Before,14,WORK,0.040006653
Resident Weekend Before,15,WORK,0.048661616
Resident Weekend Before,16,WORK,0.05533039
Resident Weekend Before,17,WORK,0.064207745
Resident Weekend Before,18,WORK,0.072051883
Resident Weekend Before,19,WORK,0.081727131
Resident Weekend Before,20,WORK,0.088595969
Resident Weekend Before,21,WORK,0.097014379
Resident Weekend Before,22,WORK,0.101991753
Resident Weekend Before,23,WORK,0.106644114
Resident Weekend Before,24,WORK,0.109784743
Resident Weekend Before,25,WORK,0.112534151
Resident Weekend Before,26,WORK,0.112697376
Resident Weekend Before,27,WORK,0.112351966
Resident Weekend Before,28,WORK,0.112027903
Resident Weekend Before,29,WORK,0.110655792
Resident Weekend Before,30,WORK,0.109039898
Resident Weekend Before,31,WORK,0.107566307
Resident Weekend Before,32,WORK,0.103779122
Resident Weekend Before,33,WORK,0.100389886
Resident Weekend Before,34,WORK,0.096602134
Resident Weekend Before,35,WORK,0.092537649
Resident Weekend Before,36,WORK,0.088381325
Resident Weekend Before,37,WORK,0.081914502
Resident Weekend Before,38,WORK,0.077613998
Resident Weekend Before,39,WORK,0.070904012
Resident Weekend Before,40,WORK,0.067754768
Resident Weekend Before,41,WORK,0.06342188
Resident Weekend Before,42,WORK,0.060035221
Resident Weekend Before,43,WORK,0.056096548
Resident Weekend Before,44,WORK,0.052696065
Resident Weekend Before,45,WORK,0.048000377
Resident Weekend Before,46,WORK,0.044736147
Resident Weekend Before,47,WORK,0.039911206
Resident Weekend Before,48,WORK,0.036864457
Resident Weekend Before,1,OTHER,0.13259328
Resident Weekend Before,2,OTHER,0.122860259
Resident Weekend Before,3,OTHER,0.113103437
Resident Weekend Before,4,OTHER,0.106770387
Resident Weekend Before,5,OTHER,0.100524101
Resident Weekend Before,6,OTHER,0.096800776
Resident Weekend Before,7,OTHER,0.094366237
Resident Weekend Before,8,OTHER,0.091693683
Resident Weekend Before,9,OTHER,0.089030846
Resident Weekend Before,10,OTHER,0.087992842
Resident Weekend Before,11,OTHER,0.087633981
Resident Weekend Before,12,OTHER,0.089221194
Resident Weekend Before,13,OTHER,0.092157116
Resident Weekend Before,14,OTHER,0.097159672
Resident Weekend Before,15,OTHER,0.104774929
Resident Weekend Before,16,OTHER,0.113869613
Resident Weekend Before,17,OTHER,0.127366611
Resident Weekend Before,18,OTHER,0.14080957
Resident Weekend Before,19,OTHER,0.160094233
Resident Weekend Before,20,OTHER,0.178372314
Resident Weekend Before,21,OTHER,0.199033246
Resident Weekend Before,22,OTHER,0.214688702
Resident Weekend Before,23,OTHER,0.229085306
Resident Weekend Before,24,OTHER,0.23929854
Resident Weekend Before,25,OTHER,0.246012429
Resident Weekend Before,26,OTHER,0.254948004
Resident Weekend Before,27,OTHER,0.259655093
Resident Weekend Before,28,OTHER,0.263087835
Resident Weekend Before,29,OTHER,0.262729321
Resident Weekend Before,30,OTHER,0.26185864
Resident Weekend Before,31,OTHER,0.258839883
Resident Weekend Before,32,OTHER,0.256216455
Resident Weekend Before,33,OTHER,0.253212378
Resident Weekend Before,34,OTHER,0.251227593
Resident Weekend Before,35,OTHER,0.249766566
Resident Weekend Before,36,OTHER,0.249187891
Resident Weekend Before,37,OTHER,0.247124922
Resident Weekend Before,38,OTHER,0.246604595
Resident Weekend Before,39,OTHER,0.240141522
Resident Weekend Before,40,OTHER,0.236586355
Resident Weekend Before,41,OTHER,0.225402619
Resident Weekend Before,42,OTHER,0.211916462
Resident Weekend Before,43,OTHER,0.194748655
Resident Weekend Before,44,OTHER,0.179053892
Resident Weekend Before,45,OTHER,0.161997571
Resident Weekend Before,46,OTHER,0.145568515
Resident Weekend Before,47,OTHER,0.130386548
Resident Weekend Before,48,OTHER,0.120587816
Resident Weekend Before,1,SCHOOL,0
Resident Weekend Before,2,SCHOOL,0
Resident Weekend Before,3,SCHOOL,0
Resident Weekend Before,4,SCHOOL,0
Resident Weekend Before,5,SCHOOL,0
Resident Weekend Before,6,SCHOOL,0
Resident Weekend Before,7,SCHOOL,0
Resident Weekend Before,8,SCHOOL,0
Resident Weekend Before,9,SCHOOL,0
Resident Weekend Before,10,SCHOOL,0
Resident Weekend Before,11,SCHOOL,0
Resident Weekend Before,12,SCHOOL,0
Resident Weekend Before,13,SCHOOL,0
Resident Weekend Before,14,SCHOOL,0
Resident Weekend Before,15,SCHOOL,0
Resident Weekend Before,16,SCHOOL,0
Resident Weekend Before,17,SCHOOL,0
Resident Weekend Before,18,SCHOOL,0
Resident Weekend Before,19,SCHOOL,0
Resident Weekend Before,20,SCHOOL,0
Resident Weekend Before,21,SCHOOL,0
Resident Weekend Before,22,SCHOOL,0
Resident Weekend Before,23,SCHOOL,0
Resident Weekend Before,24,SCHOOL,0
Resident Weekend Before,25,SCHOOL,0
Resident Weekend Before,26,SCHOOL,0
Resident Weekend Before,27,SCHOOL,0
Resident Weekend Before,28,SCHOOL,0
Resident Weekend Before,29,SCHOOL,0
Resident Weekend Before,30,SCHOOL,0
Resident Weekend Before,31,SCHOOL,0
Resident Weekend Before,32,SCHOOL,0
Resident Weekend Before,33,SCHOOL,0
