PERSON_TYPE,PER,ORIG_PURPOSE,TIME_USE
ALL,42,WORK,454.082034583333
ALL,43,COMMUTE,416.163540163264
ALL,43,ESCORT,141.265480208333
ALL,43,HOME,8709.63201416666
ALL,43,MEAL,107.188760416667
ALL,43,OTHER,0
ALL,43,SCHOOL,8.21276125
ALL,43,SHOP,225.060232291667
ALL,43,SOC AND REC,291.260559791667
ALL,43,WORK,341.377075833333
ALL,44,COMMUTE,302.870964800648
ALL,44,ESCORT,120.756708125
ALL,44,HOME,8530.403963125
ALL,44,MEAL,104.899650625
ALL,44,OTHER,0
ALL,44,SCHOOL,4.116800625
ALL,44,SHOP,195.296912708333
ALL,44,SOC AND REC,243.6751125
ALL,44,WORK,230.658128333333
ALL,45,COMMUTE,270.284578523912
ALL,45,ESCORT,114.710368125
ALL,45,HOME,8537.52740083333
ALL,45,MEAL,87.291295
ALL,45,OTHER,0
ALL,45,SCHOOL,0
ALL,45,SHOP,155.261943541667
ALL,45,SOC AND REC,198.2013375
ALL,45,WORK,197.928528541667
ALL,46,COMMUTE,256.362187459435
ALL,46,ESCORT,119.469306041667
ALL,46,HOME,8584.86302479167
ALL,46,MEAL,80.98420625
ALL,46,OTHER,0
ALL,46,SCHOOL,0
ALL,46,SHOP,158.0804725
ALL,46,SOC AND REC,188.961093125
ALL,46,WORK,192.939289166667
ALL,47,COMMUTE,228.427022954961
ALL,47,ESCORT,124.399273958333
ALL,47,HOME,8512.59469125
ALL,47,MEAL,103.723726041667
ALL,47,OTHER,0
ALL,47,SCHOOL,0
ALL,47,SHOP,145.69206875
ALL,47,SOC AND REC,190.484345625
ALL,47,WORK,178.634517708333
ALL,48,COMMUTE,221.807853125309
ALL,48,ESCORT,102.877710833333
ALL,48,HOME,8526.09609708333
ALL,48,MEAL,94.0256341666667
ALL,48,OTHER,0
ALL,48,SCHOOL,0
ALL,48,SHOP,144.256559166667
ALL,48,SOC AND REC,173.048788541667
ALL,48,WORK,169.397017083333
