ZONE,COUNTY,MODE,TRIPS
210,Hillsborough County,AUTO,12617.98
210,Hillsborough County,WALK,1075.85
211,Hillsborough County,AUTO,3419.69
213,Hillsborough County,AUTO,3595.43
213,Hillsborough County,WALK,9423.68
214,Hillsborough County,AUTO,455.05
215,Hillsborough County,AUTO,6724.72
215,Hillsborough County,TRANSIT,58.56
216,Hillsborough County,AUTO,2831.61
217,Hillsborough County,AUTO,29487.64
218,Hillsborough County,AUTO,13381.64
219,Hillsborough County,AUTO,635.5
219,Hillsborough County,WALK,9.03
220,Hillsborough County,AUTO,4980.62
221,Hillsborough County,AUTO,1439.61
222,Hillsborough County,AUTO,1673.99
223,Hillsborough County,AUTO,3917.86
224,Hillsborough County,AUTO,9456.62
224,Hillsborough County,WALK,2169.15
225,Hillsborough County,AUTO,1422.66
225,Hillsborough County,BIKE,80.24
227,Hillsborough County,AUTO,79.75
228,Hillsborough County,AUTO,620.46
230,Hillsborough County,AUTO,333.68
232,Hillsborough County,AUTO,5290.37
233,Hillsborough County,AUTO,197.81
234,Hillsborough County,AUTO,1514.93
235,Hillsborough County,AUTO,199.93
236,Hillsborough County,AUTO,21577.24
237,Hillsborough County,AUTO,12044.93
238,Hillsborough County,AUTO,3040.29
238,Hillsborough County,TNC,97.91
238,Hillsborough County,WALK,97.91
239,Hillsborough County,AUTO,298.07
240,Hillsborough County,AUTO,662.21
240,Hillsborough County,WALK,2391.86
241,Hillsborough County,AUTO,5984.86
242,Hillsborough County,AUTO,3844.04
242,Hillsborough County,SCHOOL BUS,694.02
242,Hillsborough County,WALK,177.32
243,Hillsborough County,AUTO,37.82
243,Hillsborough County,TRANSIT,149.75
243,Hillsborough County,WALK,371.85
244,Hillsborough County,AUTO,4954.48
244,Hillsborough County,WALK,1934.78
245,Hillsborough County,AUTO,10043.4
245,Hillsborough County,WALK,4278.22
246,Hillsborough County,WALK,183.56
247,Hillsborough County,AUTO,2427.82
247,Hillsborough County,WALK,78.11
248,Hillsborough County,AUTO,201.57
248,Hillsborough County,WALK,36.57
249,Hillsborough County,AUTO,412.11
249,Hillsborough County,TRANSIT,18.28
250,Hillsborough County,AUTO,2048.18
251,Hillsborough County,AUTO,6920.56
251,Hillsborough County,TRANSIT,136.39
252,Hillsborough County,AUTO,284.28
253,Hillsborough County,AUTO,2251.32
254,Hillsborough County,AUTO,240.5
255,Hillsborough County,AUTO,9733.92
256,Hillsborough County,AUTO,1101.95
257,Hillsborough County,AUTO,16183.79
257,Hillsborough County,WALK,17759.59
258,Hillsborough County,AUTO,3316.69
258,Hillsborough County,WALK,3833.35
259,Hillsborough County,AUTO,13493.25
260,Hillsborough County,AUTO,11582.8
260,Hillsborough County,WALK,617.39
261,Hillsborough County,AUTO,2245.53
262,Hillsborough County,AUTO,2563.83
262,Hillsborough County,TRANSIT,136.39
262,Hillsborough County,WALK,136.39
263,Hillsborough County,AUTO,119.6
264,Hillsborough County,AUTO,2317.37
266,Hillsborough County,AUTO,241.15
267,Hillsborough County,AUTO,2961.27
268,Hillsborough County,AUTO,1497.61
269,Hillsborough County,AUTO,8639.38
270,Hillsborough County,AUTO,735.88
270,Hillsborough County,TRANSIT,148.42
271,Hillsborough County,AUTO,306.84
