FROM,TO,TRIPS
Pinellas North Central,Tarpon Springs Area,19017.17
Pinellas North Central,Tyrone Square Area,536.95
Pinellas South,Clearwater Dwntwn,1659.3
Pinellas South,Clearwater Mall,26.41
Pinellas South,Countryside Mall,330.62
Pinellas South,Dwntwn USF Albert Whitted Airport,52360.57
Pinellas South,External,12446.46
Pinellas South,Gateway Area,33551.29
Pinellas South,Grand Central Area,7289.33
Pinellas South,Hernando  Citrus,902.8
Pinellas South,Hillsborough,41324.86
Pinellas South,Manatee Spur,0
Pinellas South,Mid-Cnty Ind Area,22593.99
Pinellas South,Oldsmar Ind Area,0
Pinellas South,Pasco,1047.66
Pinellas South,Pinellas Beaches,16553.74
Pinellas South,Pinellas Central,65955
Pinellas South,Pinellas North,2749.97
Pinellas South,Pinellas North Central,31023.93
Pinellas South,Pinellas South,598379.04
Pinellas South,St Petersburg Clearwater Area,301.91
Pinellas South,Tarpon Springs Area,0
Pinellas South,Tyrone Square Area,33919.91
St Petersburg Clearwater Area,Clearwater Dwntwn,0
St Petersburg Clearwater Area,Clearwater Mall,0
St Petersburg Clearwater Area,Countryside Mall,0
St Petersburg Clearwater Area,Dwntwn USF Albert Whitted Airport,0
St Petersburg Clearwater Area,External,115.71
St Petersburg Clearwater Area,Gateway Area,0
St Petersburg Clearwater Area,Grand Central Area,0
St Petersburg Clearwater Area,Hernando  Citrus,0
St Petersburg Clearwater Area,Hillsborough,226.12
St Petersburg Clearwater Area,Manatee Spur,0
St Petersburg Clearwater Area,Mid-Cnty Ind Area,0
St Petersburg Clearwater Area,Oldsmar Ind Area,0
St Petersburg Clearwater Area,Pasco,0
St Petersburg Clearwater Area,Pinellas Beaches,0
St Petersburg Clearwater Area,Pinellas Central,0
St Petersburg Clearwater Area,Pinellas North,2331
St Petersburg Clearwater Area,Pinellas North Central,157.66
St Petersburg Clearwater Area,Pinellas South,32.03
St Petersburg Clearwater Area,St Petersburg Clearwater Area,39.97
St Petersburg Clearwater Area,Tarpon Springs Area,0
St Petersburg Clearwater Area,Tyrone Square Area,0
Tarpon Springs Area,Clearwater Dwntwn,0
Tarpon Springs Area,Clearwater Mall,0
Tarpon Springs Area,Countryside Mall,0
Tarpon Springs Area,Dwntwn USF Albert Whitted Airport,0
Tarpon Springs Area,External,0
Tarpon Springs Area,Gateway Area,0
Tarpon Springs Area,Grand Central Area,0
Tarpon Springs Area,Hernando  Citrus,6.09
Tarpon Springs Area,Hillsborough,18.28
Tarpon Springs Area,Manatee Spur,0
Tarpon Springs Area,Mid-Cnty Ind Area,0
Tarpon Springs Area,Oldsmar Ind Area,0
Tarpon Springs Area,Pasco,18452.33
Tarpon Springs Area,Pinellas Beaches,0
Tarpon Springs Area,Pinellas Central,0
Tarpon Springs Area,Pinellas North,1272.09
Tarpon Springs Area,Pinellas North Central,0
Tarpon Springs Area,Pinellas South,0
Tarpon Springs Area,St Petersburg Clearwater Area,0
Tarpon Springs Area,Tarpon Springs Area,13.46
Tarpon Springs Area,Tyrone Square Area,0
Tyrone Square Area,Clearwater Dwntwn,0
Tyrone Square Area,Clearwater Mall,0
Tyrone Square Area,Countryside Mall,0
Tyrone Square Area,Dwntwn USF Albert Whitted Airport,329
Tyrone Square Area,External,0
Tyrone Square Area,Gateway Area,0
Tyrone Square Area,Grand Central Area,0
Tyrone Square Area,Hernando  Citrus,0
Tyrone Square Area,Hillsborough,118.4
Tyrone Square Area,Manatee Spur,0
Tyrone Square Area,Mid-Cnty Ind Area,0
Tyrone Square Area,Oldsmar Ind Area,0
Tyrone Square Area,Pasco,0
Tyrone Square Area,Pinellas Beaches,43.61
Tyrone Square Area,Pinellas Central,1416.59
Tyrone Square Area,Pinellas North,2399.68
Tyrone Square Area,Pinellas North Central,6040.49
Tyrone Square Area,Pinellas South,25744.31
Tyrone Square Area,St Petersburg Clearwater Area,0
Tyrone Square Area,Tarpon Springs Area,0
Tyrone Square Area,Tyrone Square Area,6067.35
