ZONE,COUNTY,PERSON GROUP,QUANTITY
252,Davidson,VISITORS,225.42
253,Davidson,RESIDENTS,173.28
253,Davidson,VISITORS,63.35
254,Davidson,RESIDENTS,852.51
254,Davidson,VISITORS,2.37
255,Davidson,RESIDENTS,967.45
255,Davidson,VISITORS,20.66
256,Davidson,RESIDENTS,18410.86
256,Davidson,VISITORS,1297.24
257,Davidson,RESIDENTS,1128.01
257,Davidson,VISITORS,48.02
258,Davidson,RESIDENTS,1048.57
258,Davidson,VISITORS,44.45
259,Davidson,RESIDENTS,4958.2
259,Davidson,VISITORS,193.58
260,Davidson,RESIDENTS,326.43
260,Davidson,VISITORS,30.3
261,Davidson,RESIDENTS,1601.65
261,Davidson,VISITORS,146.71
262,Davidson,RESIDENTS,1019.28
262,Davidson,VISITORS,224.43
263,Davidson,RESIDENTS,4423.92
263,Davidson,VISITORS,258.93
264,Davidson,RESIDENTS,4409.97
264,Davidson,VISITORS,136.23
265,Davidson,RESIDENTS,3131.38
265,Davidson,VISITORS,397.99
266,Davidson,RESIDENTS,2839.32
266,Davidson,VISITORS,472.84
267,Davidson,RESIDENTS,11563.04
267,Davidson,VISITORS,525.49
268,Davidson,RESIDENTS,608.83
268,Davidson,VISITORS,110.98
269,Davidson,RESIDENTS,194.69
269,Davidson,VISITORS,8.05
270,Davidson,RESIDENTS,1011.96
270,Davidson,VISITORS,87.24
271,Davidson,RESIDENTS,242.17
271,Davidson,VISITORS,73.52
272,Davidson,RESIDENTS,558.94
272,Davidson,VISITORS,87.37
273,Davidson,RESIDENTS,1529.03
273,Davidson,VISITORS,125.58
274,Davidson,RESIDENTS,1610.77
274,Davidson,VISITORS,365.31
275,Davidson,RESIDENTS,795.23
275,Davidson,VISITORS,126.4
276,Davidson,RESIDENTS,960.11
276,Davidson,VISITORS,159.72
277,Davidson,RESIDENTS,246.66
277,Davidson,VISITORS,62.18
278,Davidson,RESIDENTS,974.24
278,Davidson,VISITORS,78.76
279,Davidson,RESIDENTS,730.23
279,Davidson,VISITORS,69.41
280,Davidson,RESIDENTS,1616.07
280,Davidson,VISITORS,27.9
281,Davidson,RESIDENTS,709.77
281,Davidson,VISITORS,52.68
282,Davidson,RESIDENTS,1879.02
282,Davidson,VISITORS,23.95
283,Davidson,RESIDENTS,970.46
283,Davidson,VISITORS,4.82
284,Davidson,RESIDENTS,194.08
284,Davidson,VISITORS,4.97
285,Davidson,RESIDENTS,1302.86
285,Davidson,VISITORS,69.55
286,Davidson,RESIDENTS,2042.57
286,Davidson,VISITORS,86.78
287,Davidson,RESIDENTS,432.57
287,Davidson,VISITORS,9.82
288,Davidson,RESIDENTS,1821.08
288,Davidson,VISITORS,4.47
289,Davidson,RESIDENTS,163.58
289,Davidson,VISITORS,10.17
290,Davidson,RESIDENTS,1858.01
290,Davidson,VISITORS,159.23
291,Davidson,RESIDENTS,2033.91
291,Davidson,VISITORS,161.62
292,Davidson,RESIDENTS,2983.04
292,Davidson,VISITORS,59.53
293,Davidson,RESIDENTS,3945.3
293,Davidson,VISITORS,328.76
294,Davidson,RESIDENTS,416.64
294,Davidson,VISITORS,54.62
295,Davidson,RESIDENTS,3345.81
295,Davidson,VISITORS,180.42
296,Davidson,RESIDENTS,1640.94
296,Davidson,VISITORS,19.58
297,Davidson,RESIDENTS,1554.96
297,Davidson,VISITORS,21.57
298,Davidson,RESIDENTS,811.29
298,Davidson,VISITORS,7.16
299,Davidson,RESIDENTS,284.29
299,Davidson,VISITORS,7.56
300,Davidson,RESIDENTS,219.09
300,Davidson,VISITORS,4.21
301,Davidson,RESIDENTS,852.07
301,Davidson,VISITORS,9.1
302,Davidson,RESIDENTS,137.62
302,Davidson,VISITORS,9.5
303,Davidson,RESIDENTS,35.87
303,Davidson,VISITORS,0
304,Davidson,RESIDENTS,729.94
304,Davidson,VISITORS,7.06
305,Davidson,RESIDENTS,434.21
305,Davidson,VISITORS,9.8
306,Davidson,RESIDENTS,2055.73
306,Davidson,VISITORS,76.1
307,Davidson,RESIDENTS,1886.62
307,Davidson,VISITORS,43.13
308,Davidson,RESIDENTS,3086.46
308,Davidson,VISITORS,147.14
309,Davidson,RESIDENTS,2766.42
309,Davidson,VISITORS,26.66
310,Davidson,RESIDENTS,1611.56
310,Davidson,VISITORS,22.77
311,Davidson,RESIDENTS,804.45
311,Davidson,VISITORS,3.47
312,Davidson,RESIDENTS,4487.92
312,Davidson,VISITORS,190.15
313,Davidson,RESIDENTS,3181.5
313,Davidson,VISITORS,266.87
314,Davidson,RESIDENTS,1812.88
314,Davidson,VISITORS,26.7
315,Davidson,RESIDENTS,7147.38
315,Davidson,VISITORS,549.01
316,Davidson,RESIDENTS,822.76
316,Davidson,VISITORS,18.49
317,Davidson,RESIDENTS,996.75
317,Davidson,VISITORS,31.41
318,Davidson,RESIDENTS,589.77
318,Davidson,VISITORS,38.42
319,Davidson,RESIDENTS,2715.24
319,Davidson,VISITORS,102.37
320,Davidson,RESIDENTS,6977.45
320,Davidson,VISITORS,250.95
321,Davidson,RESIDENTS,1184.13
321,Davidson,VISITORS,3.55
322,Davidson,RESIDENTS,786.92
322,Davidson,VISITORS,8.08
323,Davidson,RESIDENTS,6874.54
323,Davidson,VISITORS,223.33
324,Davidson,RESIDENTS,67.72
324,Davidson,VISITORS,0
325,Davidson,RESIDENTS,4983.33
325,Davidson,VISITORS,72.03
326,Davidson,RESIDENTS,1136.49
326,Davidson,VISITORS,26.5
327,Davidson,RESIDENTS,2040.3
327,Davidson,VISITORS,217.96
328,Davidson,RESIDENTS,2897.94
328,Davidson,VISITORS,97.06
329,Davidson,RESIDENTS,1748.48
329,Davidson,VISITORS,117.25
330,Davidson,RESIDENTS,2558.51
330,Davidson,VISITORS,93.9
331,Davidson,RESIDENTS,1974.15
331,Davidson,VISITORS,46.07
332,Davidson,RESIDENTS,488.59
332,Davidson,VISITORS,14.4
333,Davidson,RESIDENTS,2708.36
333,Davidson,VISITORS,58.34
334,Davidson,RESIDENTS,732.5
334,Davidson,VISITORS,12.5
335,Davidson,RESIDENTS,1540.94
335,Davidson,VISITORS,28.21
336,Davidson,RESIDENTS,3358.99
336,Davidson,VISITORS,114.49
337,Davidson,RESIDENTS,2069.66
337,Davidson,VISITORS,44.64
338,Davidson,RESIDENTS,2130.67
338,Davidson,VISITORS,27.63
339,Davidson,RESIDENTS,1979.82
339,Davidson,VISITORS,67.54
340,Davidson,RESIDENTS,1737.51
340,Davidson,VISITORS,126.66
341,Davidson,RESIDENTS,2090.89
341,Davidson,VISITORS,21.94
342,Davidson,RESIDENTS,3423.41
342,Davidson,VISITORS,60.94
343,Davidson,RESIDENTS,482.09
343,Davidson,VISITORS,3.08
344,Davidson,RESIDENTS,1659.67
344,Davidson,VISITORS,9.28
345,Davidson,RESIDENTS,1650.29
345,Davidson,VISITORS,12.78
346,Davidson,RESIDENTS,439.58
346,Davidson,VISITORS,6.8
347,Davidson,RESIDENTS,1046.74
347,Davidson,VISITORS,11.73
348,Davidson,RESIDENTS,140.76
348,Davidson,VISITORS,5.62
349,Davidson,RESIDENTS,1778.13
349,Davidson,VISITORS,22.64
350,Davidson,RESIDENTS,216
350,Davidson,VISITORS,0.47
351,Davidson,RESIDENTS,1167.3
351,Davidson,VISITORS,11.88
352,Davidson,RESIDENTS,1752.21
352,Davidson,VISITORS,10
353,Davidson,RESIDENTS,1740.27
353,Davidson,VISITORS,16.15
354,Davidson,RESIDENTS,707.56
354,Davidson,VISITORS,8.45
355,Davidson,RESIDENTS,526.85
355,Davidson,VISITORS,8.84
356,Davidson,RESIDENTS,2449.57
356,Davidson,VISITORS,60.55
357,Davidson,RESIDENTS,585.85
357,Davidson,VISITORS,8.1
358,Davidson,RESIDENTS,2368.34
358,Davidson,VISITORS,154.45
359,Davidson,RESIDENTS,870.34
359,Davidson,VISITORS,2.28
360,Davidson,RESIDENTS,485.84
360,Davidson,VISITORS,5.06
361,Davidson,RESIDENTS,1008.45
361,Davidson,VISITORS,5.35
362,Davidson,RESIDENTS,139.12
362,Davidson,VISITORS,4.8
363,Davidson,RESIDENTS,2811.32
363,Davidson,VISITORS,48.4
364,Davidson,RESIDENTS,2668.57
364,Davidson,VISITORS,8.7
365,Davidson,RESIDENTS,1755.29
365,Davidson,VISITORS,28.4
366,Davidson,RESIDENTS,4744.85
366,Davidson,VISITORS,90.32
367,Davidson,RESIDENTS,1266.16
367,Davidson,VISITORS,20.13
368,Davidson,RESIDENTS,2869.46
368,Davidson,VISITORS,22.17
369,Davidson,RESIDENTS,391.09
369,Davidson,VISITORS,3.87
370,Davidson,RESIDENTS,1023.99
370,Davidson,VISITORS,8.41
371,Davidson,RESIDENTS,380.73
371,Davidson,VISITORS,0
372,Davidson,RESIDENTS,230.37
372,Davidson,VISITORS,0
373,Davidson,RESIDENTS,189.21
373,Davidson,VISITORS,4.75
374,Davidson,RESIDENTS,762.35
374,Davidson,VISITORS,6.05
375,Davidson,RESIDENTS,1828.77
375,Davidson,VISITORS,17.02
376,Davidson,RESIDENTS,2365.73
376,Davidson,VISITORS,37.45
377,Davidson,RESIDENTS,1625.4
377,Davidson,VISITORS,17.09
378,Davidson,RESIDENTS,1057.43
378,Davidson,VISITORS,8.24
379,Davidson,RESIDENTS,174.03
